PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Ecsedi, P; Gogl, G; Hof, H; Kiss, B; Harmat, V; Nyitray, L				Ecsedi, Peter; Gogl, Gergo; Hof, Henrietta; Kiss, Bence; Harmat, Veronika; Nyitray, Laszlo			Structure Determination of the Transactivation Domain of p53 in Complex with S100A4 Using Annexin A2 as a Crystallization Chaperone	STRUCTURE																	Ecsedi, Peter/AAF-3212-2021; Gogl, Gergo/ABH-4309-2020	Ecsedi, Peter/0000-0002-4700-125X; Gogl, Gergo/0000-0002-8597-3711; Nyitray, Laszlo/0000-0003-4717-5994												0969-2126	1878-4186				AUG 4	2020	28	8					943	+		10.1016/j.str.2020.05.001								WOS:000557639900009	32442400					
J	Catalan, MA; Julio-Kalajzic, F; Niemeyer, MI; Cid, LP; Sepulveda, FV				Catalan, Marcelo A.; Julio-Kalajzic, Francisca; Niemeyer, Maria Isabel; Cid, Luis Pablo; Sepulveda, Francisco V.			Short Chain Fatty Acids Effect on Chloride Channel ClC-2 as a Possible Mechanism for Lubiprostone Intestinal Action	CELLS																	Catalan, Marcelo/AAW-3848-2020; Catalan, Marcelo/ABE-7044-2021	, Francisco/0000-0003-0022-6598; Catalan, Marcelo/0000-0003-3544-2821													2073-4409				AUG	2020	9	8							1781	10.3390/cells9081781								WOS:000564864900001	32722648					
J	Swedlund, B; Lescroart, F				Swedlund, Benjamin; Lescroart, Fabienne			Cardiopharyngeal Progenitor Specification: Multiple Roads to the Heart and Head Muscles	COLD SPRING HARBOR PERSPECTIVES IN BIOLOGY																		Lescroart, Fabienne/0000-0003-4942-7921; Swedlund, Benjamin/0000-0002-8264-9342												1943-0264					AUG	2020	12	8							a036731	10.1101/cshperspect.a036731								WOS:000568684600002	31818856					
J	Kaminsky, AL; Omorou, AY; Soudant, M; Pittion-Vouyovitch, S; Michaud, M; Anxionnat, R; Guillemin, F; Debouverie, M; Mathey, G				Kaminsky, Anne-Laure; Omorou, Abdou Yacoubou; Soudant, Marc; Pittion-Vouyovitch, Sophie; Michaud, Maud; Anxionnat, Rene; Guillemin, Francis; Debouverie, Marc; Mathey, Guillaume			Discontinuation of disease-modifying treatments for multiple sclerosis in patients aged over 50 with disease Inactivity	JOURNAL OF NEUROLOGY																														0340-5354	1432-1459				DEC	2020	267	12					3518	3527		10.1007/s00415-020-10029-9		JUL 2020						WOS:000545056000002	32617659					
J	Bahlouli, W; Breton, J; Lelouard, M; L'Huillier, C; Tirelle, P; Salameh, E; Amamou, A; Atmani, K; Goichon, A; Bole-Feysot, C; Ducrotte, P; Ribet, D; Dechelotte, P; Coeffier, M				Bahlouli, Wafa; Breton, Jonathan; Lelouard, Mauranne; L'Huillier, Clement; Tirelle, Pauline; Salameh, Emmeline; Amamou, Asma; Atmani, Karim; Goichon, Alexis; Bole-Feysot, Christine; Ducrotte, Philippe; Ribet, David; Dechelotte, Pierre; Coeffier, Moise			Stress-induced intestinal barrier dysfunction is exacerbated during diet-induced obesity	JOURNAL OF NUTRITIONAL BIOCHEMISTRY																	Atmani, Karim/AAR-6116-2020; Ribet, David/AAA-6659-2020; Breton, jonathan/ABA-2327-2021	Ribet, David/0000-0003-1175-6471; Coeffier, Moise/0000-0002-7469-2682; DECHELOTTE, Pierre/0000-0001-5224-6166; BRETON, Jonathan/0000-0001-5359-5210; Atmani, Karim/0000-0003-3584-0694												0955-2863	1873-4847				JUL	2020	81								108382	10.1016/j.jnutbio.2020.108382								WOS:000536929100010	32417626					
J	Laffont, S				Laffont, S.			Sex differences in allergic asthma : influence of androgen on group 2 innate lymphoid cell biology	REVUE FRANCAISE D ALLERGOLOGIE																														1877-0320					JUN	2020	60	4					270	271		10.1016/j.reval.2020.02.043								WOS:000543269300042						
J	Palmieri, LJ; Lavol, J; Dermine, S; Brezault, C; Dhooge, M; Barr, A; Chaussade, S; Coriat, R				Palmieri, Lola-Jade; Lavol, J.; Dermine, S.; Brezault, C.; Dhooge, M.; Barr, A.; Chaussade, S.; Coriat, R.			The choice for the optimal therapy in advanced biliary tract cancers: Chemotherapy, targeted therapies or immunotherapy	PHARMACOLOGY & THERAPEUTICS																		Palmieri, Lola-Jade/0000-0002-8540-9344												0163-7258					JUN	2020	210								107517	10.1016/j.pharmthera.2020.107517								WOS:000533607500005	32109491					
J	du Mont, LS; Parmentier, AL; Puyraveau, M; Mauny, F; Guillon, B; Rinckenbach, S; Costa, P				du Mont, Lucie Salomon; Parmentier, Anne-Laure; Puyraveau, Marc; Mauny, Frederic; Guillon, Benoit; Rinckenbach, Simon; Costa, Patricia			To assess hemodynamic disturbances to the ostia of the renal arteries generated by the implantation of EVAR with a suprarenal fixation	MEDICINE																														0025-7974	1536-5964				MAY	2020	99	18							e19917	10.1097/MD.0000000000019917								WOS:000551502900022	32358359					
J	Chami, AA; Beltran, S; Corcia, P; Andres, CR; Laumonnier, F; Blasco, H; Vourc'h, P				Chami, Anna A.; Beltran, Stephane; Corcia, Philippe; Andres, Christian R.; Laumonnier, Frederic; Blasco, Helene; Vourc'h, Patrick			A novel mutation in the cleavage site N291 of TDP-43 protein in a familial case of amyotrophic lateral sclerosis	AMYOTROPHIC LATERAL SCLEROSIS AND FRONTOTEMPORAL DEGENERATION																	Laumonnier, Frederic/N-1165-2016	Laumonnier, Frederic/0000-0003-2567-0708; CHAMI, Anna/0000-0002-5610-4947; VOURC'H, Patrick/0000-0001-7960-8139; corcia, philippe/0000-0002-1625-8845; blasco, helene/0000-0001-6107-0035												2167-8421	2167-9223				JUL 2	2020	21	5-6					463	466		10.1080/21678421.2020.1752243		APR 2020						WOS:000527187600001	32301341					
J	Peiretti, F; Valero, R; Govers, R				Peiretti, Franck; Valero, Rene; Govers, Roland			Is ionic choline and geranate (CAGE) liquid caging diet-derived fat, limiting its absorption?	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA																	peiretti, franck/L-2718-2017; Govers, Roland/O-5782-2016	peiretti, franck/0000-0001-7198-0534; VALERO, RENE/0000-0002-2176-3280; Govers, Roland/0000-0003-1359-5333												0027-8424					APR 14	2020	117	15					8247	8248		10.1073/pnas.2000032117								WOS:000526871700009	32184329					
