__fact_key__,institution,period,publisher,journal_full_title,doi,is_hybrid,country,euro
INSERM,INSERM,2015,Elsevier BV,Cell Reports,10.1016/j.celrep.2015.03.067,FALSE,FRA,4650
INSERM,INSERM,2015,Elsevier BV,Cell Reports,10.1016/j.celrep.2015.05.002,FALSE,FRA,4500
INSERM,INSERM,2015,Elsevier BV,Neuron,10.1016/j.neuron.2015.09.052,TRUE,FRA,4462.7
INSERM,INSERM,2015,Elsevier BV,Cell Reports,10.1016/j.celrep.2015.08.068,FALSE,FRA,4450
INSERM,INSERM,2015,Elsevier BV,Cell Reports,10.1016/j.celrep.2015.01.049,FALSE,FRA,4450
INSERM,INSERM,2015,Elsevier BV,Cell Reports,10.1016/j.celrep.2015.10.049,FALSE,FRA,4349
INSERM,INSERM,2015,BMJ,BMJ,10.1136/bmj.h3557,TRUE,FRA,4303
INSERM,INSERM,2015,BMJ,BMJ,10.1136/bmj.h383,TRUE,FRA,4263
INSERM,INSERM,2015,BMJ,BMJ,10.1136/bmj.h2335,TRUE,FRA,4078
INSERM,INSERM,2015,American Society for Clinical Investigation,Journal of Clinical Investigation,10.1172/jci78182,FALSE,FRA,4071.75
INSERM,INSERM,2015,BMJ,BMJ,10.1136/bmj.h5949,TRUE,FRA,4050
INSERM,INSERM,2015,American Society for Clinical Investigation,Journal of Clinical Investigation,10.1172/jci78488,FALSE,FRA,4050
INSERM,INSERM,2015,American Society for Clinical Investigation,Journal of Clinical Investigation,10.1172/jci78941,FALSE,FRA,4005
INSERM,INSERM,2015,Elsevier BV,Neuron,10.1016/j.neuron.2015.01.027,TRUE,FRA,3990.1
INSERM,INSERM,2015,American Society for Clinical Investigation,Journal of Clinical Investigation,10.1172/jci73957,FALSE,FRA,3811.24
INSERM,INSERM,2015,American Society for Microbiology,Journal of Virology,10.1128/jvi.03628-14,TRUE,FRA,3776.73
INSERM,INSERM,2015,Springer Nature,Amino Acids,10.1007/s00726-015-2057-3,TRUE,FRA,3771
